,x,y,z,w,timestamp
0,0.0,0.0,0.0,1.0,326.358248728
1,0.0,0.0,0.0,1.0,326.358248728
2,0.0,0.0,0.0,1.0,326.358248728
3,0.0,0.0,0.0,1.0,326.358248728
4,0.0,0.0,0.0,1.0,330.358191728
5,0.0,0.0,0.0,1.0,330.891624728
6,0.0,0.0,0.0,1.0,331.358489728
7,0.0,0.0,0.0,1.0,331.891776728
8,0.0,0.0,0.0,1.0,332.358383728
9,0.0,0.0,0.0,1.0,332.891877728
10,0.0,0.0,0.0,1.0,333.358655728
11,0.0,0.0,0.0,1.0,333.891729728
12,0.0,0.0,0.0,1.0,334.359853728
13,0.0,0.0,0.0,1.0,334.825249728
14,0.0,0.0,0.0,1.0,335.358453728
15,0.0,0.0,0.0,1.0,335.891830728
16,0.0,0.0,0.0,1.0,336.358703728
17,0.0,0.0,0.0,1.0,336.891964728
18,0.0,0.0,0.0,1.0,337.358720728
19,0.0,0.0,0.0,1.0,337.892144728
20,0.0,0.0,0.0,1.0,338.358609728
21,0.0,0.0,0.0,1.0,338.825321728
22,0.0,0.0,0.0,1.0,339.291988728
23,0.0,0.0,0.0,1.0,339.825405728
24,0.0,0.0,0.0,1.0,340.358762728
25,0.0,0.0,0.0,1.0,340.892238728
26,0.0,0.0,0.0,1.0,341.358859728
27,0.0,0.0,0.0,1.0,341.892089728
28,0.0,0.0,0.0,1.0,342.358842728
29,0.0,0.0,0.0,1.0,342.825491728
30,0.0,0.0,0.0,1.0,343.358826728
31,0.0,0.0,0.0,1.0,343.825754728
32,0.0,0.0,0.0,1.0,344.359101728
33,0.0,0.0,0.0,1.0,344.825570728
34,0.0,0.0,0.0,1.0,345.359022728
35,0.0,0.0,0.0,1.0,345.825718728
36,0.0,0.0,0.0,1.0,346.292358728
37,0.0,0.0,0.0,1.0,346.892321728
38,0.0,0.0,0.0,1.0,347.359109728
39,0.0,0.0,0.0,1.0,347.892615728
40,0.0,0.0,0.0,1.0,348.359103728
41,0.0,0.0,0.0,1.0,348.825975728
42,0.0,0.0,0.0,1.0,349.359275728
43,0.0007816314057064353,0.0005033087912753738,0.0008004685693522896,0.9999992474910547,349.825854728
44,0.00018780422599725384,0.0007664407836847118,-0.0013968605480646863,0.9999987130385254,350.359194728
45,-3.334346670988349e-05,0.0020611043704821985,-0.0021224580066366225,0.9999956229449194,350.826012728
46,-0.00032283536915319856,0.0015619479012688438,-0.004722901705353298,0.9999875750705904,351.359224728
47,4.9505742026689945e-05,0.002300907980398007,-0.006919831608842597,0.9999734092975435,351.826060728
48,0.00011085981074354132,0.0017517075636084634,-0.008967377404292789,0.999958251815146,352.292602728
49,0.000894326238597664,5.405164527303849e-05,-0.010872783984774419,0.9999404881428788,352.892816728
50,0.0019109150861198858,-0.0005002474201654582,-0.012703914154052165,0.9999173509451762,353.359346728
51,0.0028437678173772038,-0.000845912542151278,-0.01413389671582773,0.999895709751871,353.826083728
52,0.0039629419191818,0.001485998858828291,-0.0157182059100347,0.9998675036732149,354.359488728
53,0.001782236180437309,0.004156764087302581,-0.01764206671850663,0.9998341374590184,354.825909728
54,0.002481399150061357,0.006243370317095364,-0.016143980155926368,0.9998471057567085,355.359414728
